url,scientist_name,year,Rank Based on Composite Score (Self-Citations Excluded),Rank Based on Composite Score (All),Total Cites (Self-Citations Excluded),Total Cites (All),H-index (Self-Citations Excluded),H-index (All),Hm-index (Self-Citations Excluded),Hm-index (All),Number of Single Authored Papers (Self-Citations Excluded),Number of Single Authored Papers (All),Total Cites to Single Authored Papers (Self-Citations Excluded),Total Cites to Single Authored Papers (All),Number of Single+First Authored Papers (Self-Citations Excluded),Number of Single+First Authored Papers (All),Total Cites to Single+First Authored Papers (Self-Citations Excluded),Total Cites to Single+First Authored Papers (All),Number of Single+First+Last Authored Papers (Self-Citations Excluded),Number of Single+First+Last Authored Papers (All),Total Cites to Single+First+Last Authored Papers (Self-Citations Excluded),Total Cites to Single+First+Last Authored Papers (All),Composite Score (Self-Citations Excluded),Composite Score (All),Number of Distinct Citing Papers (Self-Citations Excluded),Number of Distinct Citing Papers (All),Ratio of Total Citations to Distinct Citing Papers (Self-Citations Excluded),Ratio of Total Citations to Distinct Citing Papers (All),Self-Citation Percentage,inst_name
"https://topscinet.com/scientist_profile/Tello-Ortiz,%20Francisco/2013/?stype=single_year","Tello-Ortiz, Francisco",2022,85601,61106,291,408,11,13,6,7,1,1,14,15,8,8,58,80,28,28,218,294,2,2,103,124,2.83,3.29,28.68,Pontificia Universidad Católica de Valparaíso
"https://topscinet.com/scientist_profile/Tello-Ortiz,%20Francisco/2013/?stype=single_year","Tello-Ortiz, Francisco",2023,87057,76621,333,427,11,13,7,8,1,1,9,9,9,9,69,81,30,30,222,264,2,2,106,127,3.14,3.36,22.01,Pontificia Universidad Católica de Valparaíso
"https://topscinet.com/scientist_profile/Tello-Ortiz,%20Francisco/2013/?stype=single_year","Tello-Ortiz, Francisco",2024,109665,89160,312,408,10,12,6,7,1,1,6,6,12,12,80,91,35,35,208,256,2,2,141,172,2.21,2.37,23.53,Pontificia Universidad Católica de Valparaíso
"https://topscinet.com/scientist_profile/Voß,%20Stefan/1990/?stype=single_year","Voß, Stefan",2020,55322,50366,806,914,12,14,8,9,9,9,11,12,20,20,33,37,223,223,664,761,2,3,587,615,1.37,1.49,11.82,Pontificia Universidad Católica de Valparaíso
"https://topscinet.com/scientist_profile/Voß,%20Stefan/1990/?stype=single_year","Voß, Stefan",2021,54276,51010,1085,1198,15,16,9,10,9,9,15,18,21,21,41,45,243,243,903,998,3,3,784,822,1.38,1.46,9.43,Pontificia Universidad Católica de Valparaíso
"https://topscinet.com/scientist_profile/Voß,%20Stefan/1990/?stype=single_year","Voß, Stefan",2022,71931,77091,653,692,11,11,6,7,9,9,10,10,23,23,27,29,264,264,537,569,2,2,492,510,1.33,1.36,5.64,Pontificia Universidad Católica de Valparaíso
"https://topscinet.com/scientist_profile/Voß,%20Stefan/1990/?stype=single_year","Voß, Stefan",2023,58845,52730,739,823,12,13,7,8,9,9,11,13,23,23,31,37,275,275,618,690,2,2,548,578,1.35,1.42,10.21,Pontificia Universidad Católica de Valparaíso
"https://topscinet.com/scientist_profile/Voß,%20Stefan/1990/?stype=single_year","Voß, Stefan",2024,51753,50048,780,909,12,12,7,8,11,11,15,16,25,25,29,34,294,294,623,725,2,2,602,631,1.3,1.44,14.19,Pontificia Universidad Católica de Valparaíso
"https://topscinet.com/scientist_profile/Voß,%20Stefan/1990/?stype=single_year","Voß, Stefan",2025,40954,42906,909,1006,14,14,8,8,11,11,21,22,25,25,27,31,302,302,673,749,3,3,705,729,1.29,1.38,9.64,Pontificia Universidad Católica de Valparaíso
"https://topscinet.com/scientist_profile/Övgün,%20A./2014/?stype=single_year","Övgün, A.",2020,90292,18896,263,649,8,14,5,10,8,8,30,77,26,26,95,225,58,58,221,546,2,3,123,160,2.14,4.06,59.48,Pontificia Universidad Católica de Valparaíso
"https://topscinet.com/scientist_profile/Övgün,%20A./2014/?stype=single_year","Övgün, A.",2021,53817,15356,470,926,11,18,7,13,9,9,49,102,30,30,180,326,74,74,404,798,3,3,212,251,2.22,3.69,49.24,Pontificia Universidad Católica de Valparaíso
"https://topscinet.com/scientist_profile/Övgün,%20A./2014/?stype=single_year","Övgün, A.",2022,56450,30042,336,493,9,11,6,8,11,11,31,52,33,33,137,191,81,81,291,427,2,3,156,173,2.15,2.85,31.85,Pontificia Universidad Católica de Valparaíso
"https://topscinet.com/scientist_profile/Övgün,%20A./2014/?stype=single_year","Övgün, A.",2023,31608,7279,474,963,10,17,7,12,11,11,52,127,34,34,178,328,101,101,417,867,3,3,210,238,2.26,4.05,50.78,Pontificia Universidad Católica de Valparaíso
"https://topscinet.com/scientist_profile/Övgün,%20A./2014/?stype=single_year","Övgün, A.",2024,10797,3208,898,1525,13,21,10,14,11,11,88,143,35,35,271,414,118,118,735,1286,3,3,332,383,2.7,3.98,41.11,Pontificia Universidad Católica de Valparaíso
"https://topscinet.com/scientist_profile/Övgün,%20A./2014/?stype=single_year","Övgün, A.",2025,6780,3631,1324,1866,16,20,12,15,11,11,99,123,37,37,302,393,137,137,953,1351,3,3,495,575,2.67,3.25,29.05,Pontificia Universidad Católica de Valparaíso
